%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1491901094454249467,575,1491901094347461066,,0.617999970913,56.2799987793
1491901094454338634,576,1491901094365375027,,0.617999970913,56.2799987793
1491901094454393270,577,1491901094385388989,,0.617999970913,56.2799987793
1491901094454457124,578,1491901094405287221,,0.617999970913,56.2799987793
1491901094454537384,579,1491901094425259203,,0.617999970913,56.2799987793
1491901094454622749,580,1491901094445391914,,0.617999970913,56.2799987793
1491901094471511657,581,1491901094465331865,,0.617999970913,56.2799987793
1491901094488231868,582,1491901094485257284,,0.617999970913,56.2799987793
1491901094507832131,583,1491901094505267756,,0.617999970913,56.2799987793
1491901094528295676,584,1491901094525233228,,0.617999970913,56.2799987793
1491901094547917398,585,1491901094545261512,,0.617999970913,56.2799987793
1491901094568062921,586,1491901094565246306,,0.617999970913,56.2799987793
1491901094588412039,587,1491901094585356934,,0.617999970913,56.2799987793
1491901094608418448,588,1491901094605384958,,0.617999970913,56.2799987793
1491901094628344180,589,1491901094625338867,,0.617999970913,56.2799987793
1491901094648140798,590,1491901094645379287,,0.617999970913,56.2799987793
1491901094668195696,591,1491901094665433196,,0.617999970913,56.2799987793
1491901094688501168,592,1491901094685469397,,0.617999970913,56.2799987793
1491901094708978359,593,1491901094705225702,,0.617999970913,56.2799987793
1491901094727834559,594,1491901094725235288,,0.617999970913,56.2799987793
1491901094747857375,595,1491901094745178729,,0.617999970913,56.2799987793
1491901094768424930,596,1491901094765250294,,0.617999970913,56.2799987793
1491901094789096652,597,1491901094785225557,,0.617999970913,56.2799987793
1491901094808581654,598,1491901094805279362,,0.617999970913,56.2799987793
1491901094827989730,599,1491901094825316657,,0.617999970913,56.2799987793
1491901094848340775,600,1491901094845251295,,0.617999970913,56.2799987793
1491901094868279163,601,1491901094865251715,,0.617999970913,56.2799987793
1491901094888387708,602,1491901094885378436,,0.617999970913,56.2799987793
1491901094908672867,603,1491901094905439325,,0.617999970913,56.2799987793
1491901094928596620,604,1491901094925392453,,0.617999970913,56.2799987793
1491901094949550477,605,1491901094945404956,,0.617999970913,56.2799987793
1491901094969662511,606,1491901094965445063,,0.617999970913,56.2799987793
1491901094990071941,607,1491901094986265587,,0.617999970913,56.2799987793
1491901095009806423,608,1491901095005460485,,0.617999970913,56.2799987793
1491901095030017260,609,1491901095026110280,,0.617999970913,56.2799987793
1491901095049319294,610,1491901095046445335,,0.617999970913,56.2799987793
1491901095069336067,611,1491901095065477890,,0.617999970913,56.2799987793
1491901095089223414,612,1491901095085345966,,0.617999970913,56.2799987793
1491901095108831959,613,1491901095105413781,,0.617999970913,56.2799987793
1491901095128517014,614,1491901095125388576,,0.617999970913,56.2799987793
1491901095148198058,615,1491901095145261391,,0.617999970913,56.2799987793
1491901095168531394,616,1491901095165401186,,0.617999970913,56.2799987793
1491901095188132022,617,1491901095185376188,,0.617999970913,56.2799987793
1491901095208639786,618,1491901095205798119,,0.617999970913,56.2799987793
1491901095227939580,619,1491901095225202132,,0.617999970913,56.2799987793
1491901095247310885,620,1491901095245204895,,0.617999970913,56.2799987793
1491901095268359586,621,1491901095265502138,,0.617999970913,56.2799987793
1491901095287802974,622,1491901095285420838,,0.617999970913,56.2799987793
1491901095308272248,623,1491901095306003289,,0.617999970913,56.2799987793
1491901095328388397,624,1491901095325606990,,0.617999970913,56.2799987793
1491901095348282931,625,1491901095345882722,,0.617999970913,56.2799987793
1491901095369136059,626,1491901095366334392,,0.617999970913,56.2799987793
1491901095388615020,627,1491901095385632051,,0.617999970913,56.2799987793
1491901095408382263,628,1491901095405291168,,0.617999970913,56.2799987793
1491901095428817370,629,1491901095426106015,,0.617999970913,56.2799987793
1491901095450371279,630,1491901095445971122,,0.617999970913,56.2799987793
1491901095467875448,631,1491901095465592844,,0.617999970913,56.2799987793
1491901095487533472,632,1491901095485433420,,0.617999970913,56.2799987793
1491901095507326652,633,1491901095505224933,,0.617999970913,56.2799987793
1491901095527551603,634,1491901095525253373,,0.617999970913,56.2799987793
1491901095547613168,635,1491901095545226241,,0.617999970913,56.2799987793
1491901095567924473,636,1491901095565231608,,0.617999970913,56.2799987793
1491901095587521976,637,1491901095585267757,,0.617999970913,56.2799987793
1491901095608378958,638,1491901095605280885,,0.617999970913,56.2799987793
1491901095627374222,639,1491901095625282919,,0.617999970913,56.2799987793
1491901095648242350,640,1491901095645242922,,0.617999970913,56.2799987793
1491901095669352769,641,1491901095665241467,,0.617999970913,56.2799987793
1491901095688257303,642,1491901095685258917,,0.617999970913,56.2799987793
1491901095709191629,643,1491901095705325222,,0.617999970913,56.2799987793
1491901095728918195,644,1491901095725348038,,0.617999970913,56.2799987793
1491901095749573562,645,1491901095745400280,,0.617999970913,56.2799987793
1491901095769592419,646,1491901095765833460,,0.617999970913,56.2799987793
1491901095789520079,647,1491901095786085495,,0.617999970913,56.2799987793
1491901095808799456,648,1491901095805433154,,0.617999970913,56.2799987793
1491901095830779824,649,1491901095825419771,,0.617999970913,56.2799987793
1491901095851091390,650,1491901095845497899,,0.617999970913,56.2799987793
1491901095869101132,651,1491901095865392121,,0.617999970913,56.2799987793
1491901095887608009,652,1491901095885387645,,0.617999970913,56.2799987793
1491901095908242075,653,1491901095905278950,,0.617999970913,56.2799987793
1491901095928842807,654,1491901095925252807,,0.617999970913,56.2799987793
1491901095949192498,655,1491901095945256768,,0.617999970913,56.2799987793
1491901095969293751,656,1491901095965234635,,0.617999970913,56.2799987793
1491901095989000420,657,1491901095985315315,,0.617999970913,56.2799987793
1491901096008743288,658,1491901096005276933,,0.617999970913,56.2799987793
1491901096030191884,659,1491901096025340946,,0.617999970913,56.2799987793
1491901096049988554,660,1491901096046091470,,0.617999970913,56.2799987793
1491901096070181421,661,1491901096066084910,,0.617999970913,56.2799987793
1491901096090757674,662,1491901096087133872,,0.617999970913,56.2799987793
1491901096110463354,663,1491901096105407468,,0.617999970913,56.2799987793
